Comp_ID,ES_ID,Study_ID,FirstAuthor,Year,Journal,Volume,Species_ID,CommonName,Genus,Species,animals,Strain,SlpES,SlpV,IntES,IntV
Comp0041,Exp0016,Paper043,Bonkowski,2006,P NATL ACAD SCI USA,103,Spp002,Mouse,Mus,musculus,Mus_musculus,WT_mouse,-0.751609195,0.281792816,0.499793103,1.156706897
Comp0058,Exp0021,Paper046,Carvalho,2005,NAT METHODS,2,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,WT_drosophila,-0.738615385,0.038255061,-0.226076923,0.164376518
Comp0194,Exp0097,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.732575676,0.056528378,0.714945946,0.220621622
Comp0378,Exp0208,Paper151,Bhandari,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Oregon-R,-0.727904977,0.036273756,-0.40279638,0.156144796
Comp0301,Exp0153,Paper116,Means,1993,PHYSIOL BEHAV,54,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.713331891,0.115303461,0.366190358,0.481505562
Comp0191,Exp0097,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.709039676,0.102263968,-0.959253441,0.444918219
Comp0220,Exp0113,Paper087,Tain,2008,BMC DEV BIOL,8,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.69671729,0.03460514,-0.060004673,0.144476636
Comp0193,Exp0097,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.679278932,0.076106825,-0.156513353,0.322358061
Comp0375,Exp0206,Paper150,Black,2003,AM J PHYSIOL-REG I,284,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.65948727,0.349580114,-0.306863916,1.496436348
Comp0200,Exp0100,Paper080,Weindruch,1986,J NUTR,116,Spp002,Mouse,Mus,musculus,Mus_musculus,C3B10RF1xC57BL10.RIII/Sn,-0.658634328,0.129440299,-0.708562189,0.565124378
Comp0216,Exp0111,Paper085,Yamaki,2005,BIOSCI BIOTECH BIOCH,69,Spp002,Mouse,Mus,musculus,Mus_musculus,ICR,-0.655094013,0.141288692,0.919731264,0.561243459
Comp0228,Exp0120,Paper093,Soh,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.650684319,0.112167125,-0.073061898,0.495968363
Comp0083,Exp0037,Paper056,Jiang,2002,EXP GERONTOL,37,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,YPK9,-0.642627346,0.193595174,-0.546901698,0.842553172
Comp0199,Exp0100,Paper080,Weindruch,1986,J NUTR,116,Spp002,Mouse,Mus,musculus,Mus_musculus,C3B10RF1xC57BL10.RIII/Sn,-0.611435364,0.107786033,-0.26917682,0.462650817
Comp0483,Exp0266,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.583852273,0.067289773,0.510668182,0.281595455
Comp0185,Exp0096,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.566145215,0.053234323,1.510910891,0.136930693
Comp0195,Exp0097,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.561931937,0.063527749,1.419528796,0.211674346
Comp0209,Exp0105,Paper083,Wolf,2000,EXP EYE RES,70,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,-0.554737758,0.137458119,-0.422563144,0.601378866
Comp0177,Exp0094,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.553189781,0.053492701,1.364708029,0.160908759
Comp0131,Exp0063,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.542798793,0.040935614,-0.400074447,0.174597586
Comp0579,Exp0019,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.542414634,0.01297561,-0.566560976,0.05804878
Comp0481,Exp0264,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.539030612,0.081591837,-0.070189796,0.354310204
Comp0057,Exp0021,Paper046,Carvalho,2005,NAT METHODS,2,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,WT_drosophila,-0.532980583,0.02584466,0.303087379,0.110854369
Comp0039,Exp0014,Paper025,Zheng,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.532086066,0.04092623,-1.262004098,0.182959016
Comp0044,Exp0019,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.527215909,0.014977273,-1.008806818,0.067159091
Comp0262,Exp0136,Paper103,Pendergrass,1995,EXP CELL RES,217,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,-0.50346087,0.145956522,-0.841069565,0.65073913
Comp0281,Exp0148,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.4960625,0.0275625,1.196684783,0.098608696
Comp0201,Exp0100,Paper080,Weindruch,1986,J NUTR,116,Spp002,Mouse,Mus,musculus,Mus_musculus,C3B10RF1xC57BL10.RIII/Sn,-0.496051178,0.116019529,-0.616513805,0.518512458
Comp0261,Exp0135,Paper103,Pendergrass,1995,EXP CELL RES,217,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.495815169,0.138898024,-0.584668579,0.615093053
Comp0377,Exp0207,Paper151,Bhandari,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,w[cs],-0.482184549,0.037446352,-1.082399142,0.168433476
Comp0639,Exp0323,Paper194,Masoro,1989,AM J CLIN NUTR,49,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.481841364,0.10402298,-0.469198666,0.463935508
Comp0458,Exp0248,Paper168,Masoro,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.478108218,0.153443866,-0.189100694,0.672979167
Comp0152,Exp0084,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6-EM,-0.469414634,0.118780488,-0.658319783,0.531355014
Comp0467,Exp0256,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.460902561,0.301471085,-1.328447056,1.367176921
Comp0577,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,-0.460675325,0.023883117,0.206948052,0.103792208
Comp0472,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.457068118,0.150672753,1.310398174,0.486964888
Comp0627,Exp0315,Paper170,Yu,1985,J GERONTOL A-BIOL,40,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.456286435,0.123447302,-0.022626828,0.54987998
Comp0280,Exp0148,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.453497222,0.027530556,1.161066667,0.0986
Comp0038,Exp0014,Paper025,Zheng,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.44599022,0.035200489,-0.784533007,0.158002445
Comp0072,Exp0030,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.438978261,0.060602484,0.214434783,0.26042236
Comp0263,Exp0137,Paper103,Pendergrass,1995,EXP CELL RES,217,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.428472752,0.122754087,-0.393280654,0.54752861
Comp0578,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,-0.424346705,0.028191977,-0.267770774,0.1257851
Comp0173,Exp0094,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.418918367,0.069651287,1.350326531,0.165420586
Comp0167,Exp0093,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.418693922,0.117358177,-1.68301013,0.528494935
Comp0035,Exp0012,Paper015,Bartke,2001,NATURE,414,Spp002,Mouse,Mus,musculus,Mus_musculus,WT_mouse,-0.415357301,0.192371061,0.190566356,0.837966267
Comp0457,Exp0248,Paper168,Masoro,1995,J GERONTOL A-BIOL,50,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.413452503,0.15629571,-0.56412666,0.704436159
Comp0300,Exp0152,Paper114,Mizutani,1994,P NATL ACAD SCI USA,91,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.413247191,0.133213015,0.900707865,0.571803371
Comp0412,Exp0229,Paper158,Sheldon,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.409358149,0.121627767,-0.840780684,0.550313213
Comp0042,Exp0017,Paper043,Bonkowski,2006,P NATL ACAD SCI USA,103,Spp002,Mouse,Mus,musculus,Mus_musculus,WT_mouse,-0.407910653,0.281394044,-0.210235395,1.254201604
Comp0146,Exp0078,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.40375076,0.106805471,-0.287914894,0.477829787
Comp0073,Exp0030,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.401809272,0.054603974,0.057321854,0.242376159
Comp0282,Exp0148,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.398796853,0.049127325,1.473429185,0.105708155
Comp0056,Exp0021,Paper046,Carvalho,2005,NAT METHODS,2,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,WT_drosophila,-0.394342466,0.02500274,0.757232877,0.104531507
Comp0471,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.394044676,0.155116902,1.263132539,0.493496649
Comp0129,Exp0061,Paper072,Srivastava,1991,EXP GERONTOL,26,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.391196871,0.052676662,-0.257842243,0.238071708
Comp0334,Exp0176,Paper130,Lenaerts,2007,ANN NY ACAD SCI,1100,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.389008547,0.02774359,-0.212666667,0.132
Comp0311,Exp0160,Paper123,Libert,2008,MOL IMMUNOL,45,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.387971154,0.007759615,0.930134615,0.029653846
Comp0336,Exp0177,Paper131,Kaeberlein,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.383219427,0.124898771,-0.335335284,0.553492101
Comp0586,Exp0295,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.382298701,0.070207792,-0.862320679,0.32200999
Comp0116,Exp0054,Paper065,Magwere,2004,J GERONTOL A-BIOL,59,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.37562585,0.011605442,1.366183673,0.029510204
Comp0217,Exp0111,Paper085,Yamaki,2005,BIOSCI BIOTECH BIOCH,69,Spp002,Mouse,Mus,musculus,Mus_musculus,ICR,-0.368739033,0.129050056,0.842760405,0.515848144
Comp0588,Exp0297,Paper051,Greer,2007,CURR BIOL,17,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.367971087,0.07071984,-0.906859422,0.325770688
Comp0213,Exp0109,Paper084,Wood,2004,NATURE,430,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.366832972,0.186182213,-1.281956616,0.853861171
Comp0143,Exp0075,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6,-0.35798556,0.113170397,-0.684288809,0.514758845
Comp0573,Exp0292,Paper189,Grandison,2009,NATURE,462,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.357114374,0.034378671,0.840264297,0.140459042
Comp0410,Exp0227,Paper157,Blackwell,1995,TOXICOL PATHOL,23,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.356264191,0.131248806,-0.243238196,0.621854642
Comp0154,Exp0086,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.351747145,0.087316476,0.05611093,0.390350734
Comp0175,Exp0094,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.351313947,0.204557632,1.413673158,0.305653684
Comp0298,Exp0152,Paper114,Mizutani,1994,P NATL ACAD SCI USA,91,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.348219846,0.232997327,0.118296358,1.130383896
Comp0238,Exp0126,Paper097,Sohal,1994,MECH AGEING DEV,74,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.339989761,0.204829352,-0.47281058,0.926595563
Comp0335,Exp0176,Paper130,Lenaerts,2007,ANN NY ACAD SCI,1100,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.338237113,0.023749141,-0.641051546,0.110319588
Comp0601,Exp0298,Paper095,Shimokawa,1991,J GERONTOL A-BIOL,46,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.323394343,0.056129784,0.208863561,0.249074875
Comp0316,Exp0162,Paper124,Mair,2005,PLOS BIOL,3,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Dahomey,-0.322348387,0.074490323,-1.393273118,0.344511828
Comp0170,Exp0093,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.319681967,0.074629508,-0.350965027,0.334703825
Comp0021,Exp0005,Paper009,Anderson,2003,NATURE,423,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,WT_yeast,-0.318168831,0.119168831,-0.211043636,0.547570909
Comp0242,Exp0130,Paper100,Shimokawa,1993,J GERONTOL A-BIOL,48,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.317124294,0.028497175,-0.634666667,0.134666667
Comp0580,Exp0019,Paper044,Bross,2005,AGING CELL,4,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.313120879,0.014494505,-0.694252747,0.06921978
Comp0174,Exp0094,Paper078,Vigne,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.307591549,0.154089789,1.294402817,0.23711831
Comp0136,Exp0068,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,PX178,-0.300841079,0.053749625,-0.450485757,0.25210045
Comp0348,Exp0186,Paper135,Ikeno,2005,J GERONTOL A-BIOL,60,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.295148936,0.199582979,-0.186829787,0.881055319
Comp0294,Exp0151,Paper115,Mizutani,1994,J NUTR,124,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.29134394,0.232061273,-0.019536222,1.136880162
Comp0546,Exp0284,Paper183,Mair,2009,PLOS ONE,4,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.289550902,0.134994201,-1.625979381,0.624092784
Comp0070,Exp0028,Paper050,Forster,2003,FASEB J,17,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.286958115,0.03347644,-0.342481675,0.151759162
Comp0150,Exp0082,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6-NIH,-0.285643024,0.100717069,-0.509647701,0.463055339
Comp0151,Exp0083,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6C3F1,-0.285453505,0.116482117,-0.901426323,0.536928469
Comp0296,Exp0151,Paper115,Mizutani,1994,J NUTR,124,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.28384423,0.12069197,0.580959631,0.559801229
Comp0140,Exp0072,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,D2,-0.28367495,0.085305169,0.113355865,0.379172962
Comp0130,Exp0062,Paper073,Srivastava,1992,EXP GERONTOL,27,Spp002,Mouse,Mus,musculus,Mus_musculus,C57BL/6,-0.28324359,0.053477208,-0.377153846,0.245538462
Comp0470,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.282458333,0.136,0.988704861,0.504638889
Comp0575,Exp0293,Paper190,Ross,1961,J NUTR,75,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,Sprague-Dawley,-0.278685629,0.027488024,-0.516233533,0.125712575
Comp0478,Exp0261,Paper179,Ja,2009,P NATL ACAD SCI USA,106,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.278474119,0.225671418,0.279931733,0.990157539
Comp0469,Exp0257,Paper178,Goldberg,2009,EXP GERONTOL,44,Spp004,Yeast,Saccharomyces,cerevisiae,Saccharomyces_cerevisiae,BY4742,-0.277299125,0.125714399,0.895519491,0.497676213
Comp0135,Exp0067,Paper074,Sutphin,2008,EXP GERONTOL,43,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,PX176,-0.276348243,0.076728435,-1.413738019,0.352513312
Comp0544,Exp0282,Paper183,Mair,2009,PLOS ONE,4,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,WT_celegans,-0.264990625,0.0969875,-0.706314063,0.449971875
Comp0632,Exp0317,Paper047,Tacconi,1991,NEUROBIOL AGING,12,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,CD-COBS,-0.263271464,0.144645658,-0.067152854,0.661072457
Comp0299,Exp0152,Paper114,Mizutani,1994,P NATL ACAD SCI USA,91,Spp002,Mouse,Mus,musculus,Mus_musculus,NZB/WF1,-0.263239382,0.126992278,0.368277992,0.597793436
Comp0353,Exp0190,Paper139,Harper,2006,AGING CELL,5,Spp002,Mouse,Mus,musculus,Mus_musculus,Idaho(wild),-0.26035748,0.117451969,0.637725984,0.48072126
Comp0104,Exp0048,Paper061,Lee,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,fem-1(hc17),-0.25997479,0.0692497,-0.504067227,0.322553421
Comp0331,Exp0174,Paper128,Kubo,1992,P NATL ACAD SCI USA,89,Spp002,Mouse,Mus,musculus,Mus_musculus,BXSB,-0.259120863,0.408661871,-0.946404317,1.832546763
Comp0413,Exp0230,Paper159,Thurman,1994,TOXICOL PATHOL,22,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,F344,-0.250984908,0.128983596,-0.910951444,0.594643045
Comp0277,Exp0147,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.248504202,0.028165266,0.301647059,0.12445098
Comp0381,Exp0210,Paper152,Burger,2007,AGING CELL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.2485,0.0015,-0.560666667,0.007
Comp0405,Exp0222,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-C,-0.240328185,0.020671815,0.388185328,0.090671815
Comp0278,Exp0147,Paper112,Min,2006,MECH AGEING DEV,127,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,Canton-S,-0.240289634,0.03185061,0.285859756,0.138378049
Comp0147,Exp0079,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp001,Rat,Rattus,norvegicus,Rattus_norvegicus,BN,-0.239338684,0.100479936,-0.444537721,0.463221509
Comp0231,Exp0121,Paper093,Soh,2007,MECH AGEING DEV,128,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,W1118,-0.236581622,0.10199027,0.080263784,0.447707027
Comp0340,Exp0178,Paper131,Kaeberlein,2006,AGING CELL,5,Spp006,C.elegans,Caenorhabditis,elegans,Caenorhabditis_elegans,N2,-0.230370166,0.117249847,-0.634867403,0.551780233
Comp0401,Exp0218,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-C,-0.229962963,0.023228956,-0.041185185,0.105451178
Comp0034,Exp0011,Paper014,Ball,1947,AM J PHYSIOL,150,Spp002,Mouse,Mus,musculus,Mus_musculus,A strain,-0.227862821,0.072937179,-0.126484615,0.328661538
Comp0148,Exp0080,Paper075,Turturro,1999,J GERONTOL A-BIOL,54,Spp002,Mouse,Mus,musculus,Mus_musculus,B6D2F1,-0.225408197,0.098992623,-0.53212459,0.458783607
Comp0406,Exp0223,Paper155,Chippindale,1993,J EVOLUTION BIOL,6,Spp008,Drosophila,Drosophila,melanogaster,Drosophila_melanogaster,IV-D,-0.215897059,0.022966912,0.080705882,0.103117647
